insee,Commune,EPCI
97409,Saint-André,CIREST
97420,Sainte-Suzanne,CINOR
97418,Sainte-Marie,CINOR
97407,Le Port,TCO
97408,La Possession,TCO
97411,Saint-Denis,CINOR
97419,Sainte-Rose,CIREST
97406,La Plaine-des-Palmistes,CIREST
97410,Saint-Benoît,CIREST
97402,Bras-Panon,CIREST
97422,Le Tampon,CASUD
97421,Salazie,CIREST
97423,Les Trois-Bassins,TCO
97401,Les Avirons,CIVIS
97415,Saint-Paul,TCO
97413,Saint-Leu,TCO
97424,Cilaos,CIVIS
97414,Saint-Louis,CIVIS
97403,Entre-Deux,CASUD
97404,L'Étang-Salé,CIVIS
97405,Petite-Île,CIVIS
97412,Saint-Joseph,CASUD
97417,Saint-Philippe,CASUD
97416,Saint-Pierre,CIVIS
