Commune;insee;Commune_MAJ;EPCI
Les Avirons;97401;LES AVIRONS;CIVIS
Bras-Panon;97402;BRAS-PANON;CIREST
Entre-Deux;97403;ENTRE-DEUX;CASUD
L'Étang-Salé;97404;L'ETANG-SALE;CIVIS
Petite-Île;97405;PETITE-ILE;CIVIS
La Plaine-des-Palmistes;97406;LA PLAINE-DES-PALMISTES;CIREST
Le Port;97407;LE PORT;TO
La Possession;97408;LA POSSESSION;TO
Saint-André;97409;SAINT-ANDRE;CIREST
Saint-Benoît;97410;SAINT-BENOIT;CIREST
Saint-Denis;97411;SAINT-DENIS;CINOR
Saint-Joseph;97412;SAINT-JOSEPH;CASUD
Saint-Leu;97413;SAINT-LEU;TO
Saint-Louis;97414;SAINT-LOUIS;CIVIS
Saint-Paul;97415;SAINT-PAUL;TO
Saint-Pierre;97416;SAINT-PIERRE;CIVIS
Saint-Philippe;97417;SAINT-PHILIPPE;CASUD
Sainte-Marie;97418;SAINTE-MARIE;CINOR
Sainte-Rose;97419;SAINTE-ROSE;CIREST
Sainte-Suzanne;97420;SAINTE-SUZANNE;CINOR
Salazie;97421;SALAZIE;CIREST
Le Tampon;97422;LE TAMPON;CASUD
Les Trois-Bassins;97423;LES TROIS-BASSINS;TO
Cilaos;97424;CILAOS;CIVIS
