"annee";"n_exploit";"sau_tot_ha";"sau_moy_ha";"insee";"Commune"
1988;235;358,56;1,52578723404255;97403;"Entre-Deux"
2000;162;206;1,27160493827161;97403;"Entre-Deux"
2010;101;140,9;1,39504950495049;97403;"Entre-Deux"
2020;68;78,45;1,15367647058823;97403;"Entre-Deux"
1988;1339;8473,08;6,32791635548917;97422;"Le Tampon"
2000;1083;7359,11;6,79511542012927;97422;"Le Tampon"
2010;992;7448,14;7,50820564516129;97422;"Le Tampon"
2020;898;6821,39;7,59620267260579;97422;"Le Tampon"
1988;1208;2890,69;2,39295529801324;97412;"Saint-Joseph"
2000;630;2750,23;4,36544444444444;97412;"Saint-Joseph"
2010;625;2815,22;4,504352;97412;"Saint-Joseph"
2020;520;2543,45;4,89125;97412;"Saint-Joseph"
1988;296;917,44;3,09945945945946;97417;"Saint-Philippe"
2000;233;1006,3;4,31888412017167;97417;"Saint-Philippe"
2010;169;1074,27;6,35662721893491;97417;"Saint-Philippe"
2020;210;1147,84;5,46590476190476;97417;"Saint-Philippe"
1988;435;874,3;2,00988505747126;97411;"Saint-Denis"
2000;294;626,14;2,12972789115646;97411;"Saint-Denis"
2010;232;348,03;1,50012931034483;97411;"Saint-Denis"
2020;121;372,86;3,08148760330578;97411;"Saint-Denis"
1988;354;3081,07;8,70358757062147;97418;"Sainte-Marie"
2000;231;2483,51;10,7511255411255;97418;"Sainte-Marie"
2010;197;2110,63;10,7138578680203;97418;"Sainte-Marie"
2020;130;1662,65;12,7896153846154;97418;"Sainte-Marie"
1988;408;2287,66;5,60700980392157;97420;"Sainte-Suzanne"
2000;255;1572,41;6,1663137254902;97420;"Sainte-Suzanne"
2010;245;1756,42;7,1690612244898;97420;"Sainte-Suzanne"
2020;194;1733,87;8,93747422680412;97420;"Sainte-Suzanne"
1988;245;1407,54;5,7450612244898;97402;"Bras-Panon"
2000;197;1061,53;5,38847715736041;97402;"Bras-Panon"
2010;169;1153,44;6,82508875739645;97402;"Bras-Panon"
2020;146;945,17;6,47376712328767;97402;"Bras-Panon"
1988;72;438,7;6,09305555555556;97406;"La Plaine-des-Palmistes"
2000;83;738,2;8,89397590361446;97406;"La Plaine-des-Palmistes"
2010;106;515,24;4,86075471698113;97406;"La Plaine-des-Palmistes"
2020;79;413,48;5,23392405063291;97406;"La Plaine-des-Palmistes"
1988;570;3679,54;6,45533333333333;97409;"Saint-André"
2000;334;3133,27;9,38104790419162;97409;"Saint-André"
2010;257;2887,64;11,235953307393;97409;"Saint-André"
2020;202;2605,48;12,8984158415842;97409;"Saint-André"
1988;778;3844,74;4,94182519280206;97410;"Saint-Benoît"
2000;652;3699,42;5,67395705521472;97410;"Saint-Benoît"
2010;593;3867,24;6,52148397976391;97410;"Saint-Benoît"
2020;514;3542,6;6,89221789883268;97410;"Saint-Benoît"
1988;371;1514,46;4,08210242587601;97419;"Sainte-Rose"
2000;225;1409,8;6,26577777777778;97419;"Sainte-Rose"
2010;231;1684,33;7,29147186147186;97419;"Sainte-Rose"
2020;244;1869,16;7,66049180327869;97419;"Sainte-Rose"
1988;561;813,2;1,44955436720143;97421;"Salazie"
2000;346;484,93;1,40153179190751;97421;"Salazie"
2010;317;426,81;1,34640378548896;97421;"Salazie"
2020;274;423,6;1,54598540145985;97421;"Salazie"
1988;1031;2590,61;2,51271580989331;97414;"Saint-Louis"
2000;617;1984,71;3,21670988654781;97414;"Saint-Louis"
2010;437;1715,12;3,92475972540046;97414;"Saint-Louis"
2020;337;1499,34;4,44908011869436;97414;"Saint-Louis"
1988;230;250,57;1,0894347826087;97424;"Cilaos"
2000;164;166,47;1,01506097560976;97424;"Cilaos"
2010;107;97,11;0,907570093457944;97424;"Cilaos"
2020;61;67,9;1,11311475409836;97424;"Cilaos"
1988;259;545,31;2,10544401544401;97404;"L'Étang-Salé"
2000;159;440,8;2,77232704402516;97404;"L'Étang-Salé"
2010;154;500,35;3,24902597402597;97404;"L'Étang-Salé"
2020;130;388,36;2,98738461538461;97404;"L'Étang-Salé"
1988;310;581,19;1,8748064516129;97401;"Les Avirons"
2000;192;388;2,02083333333333;97401;"Les Avirons"
2010;127;316,96;2,49574803149606;97401;"Les Avirons"
2020;82;212,95;2,59695121951219;97401;"Les Avirons"
1988;682;1701,15;2,49435483870968;97405;"Petite-Île"
2000;425;1578,67;3,71451764705882;97405;"Petite-Île"
2010;323;1399,51;4,33284829721362;97405;"Petite-Île"
2020;280;1281,41;4,57646428571429;97405;"Petite-Île"
1988;1397;5006,29;3,58360057265569;97416;"Saint-Pierre"
2000;975;4290,53;4,40054358974359;97416;"Saint-Pierre"
2010;771;4033,35;5,23132295719844;97416;"Saint-Pierre"
2020;672;3378,55;5,02760416666667;97416;"Saint-Pierre"
1988;273;482,53;1,76750915750916;97408;"La Possession"
2000;179;266,49;1,48877094972067;97408;"La Possession"
2010;129;234,91;1,82100775193798;97408;"La Possession"
2020;58;104,67;1,80465517241379;97408;"La Possession"
1988;58;75,2;1,29655172413793;97407;"Le Port"
2000;21;40,43;1,92523809523809;97407;"Le Port"
2010;17;39,19;2,30529411764706;97407;"Le Port"
2020;17;51,14;3,00823529411765;97407;"Le Port"
1988;1057;3005,61;2,84352885525071;97413;"Saint-Leu"
2000;579;3131,48;5,40842832469775;97413;"Saint-Leu"
2010;398;3130,65;7,86595477386935;97413;"Saint-Leu"
2020;333;3215,69;9,65672672672673;97413;"Saint-Leu"
1988;1988;4648,55;2,33830482897384;97415;"Saint-Paul"
2000;1071;3866,7;3,61036414565826;97415;"Saint-Paul"
2010;815;3995,11;4,9019754601227;97415;"Saint-Paul"
2020;626;3609,36;5,76575079872204;97415;"Saint-Paul"
1988;332;767,1;2,3105421686747;97423;"Les Trois-Bassins"
2000;165;1006,51;6,10006060606061;97423;"Les Trois-Bassins"
2010;111;1123,32;10,12;97423;"Les Trois-Bassins"
2020;86;804,53;9,355;97423;"Les Trois-Bassins"
