"Commune";"insee";"Bestiole";"N";"An";"tetes";"ugb"
"Les Avirons";97401;"total bovins";19;2010;346;277,12
"Les Avirons";97401;"total bovins";14;2020;142;117,26
"Les Avirons";97401;"total équins";NA;2010;NA;NA
"Les Avirons";97401;"total équins";0;2020;0;0
"Les Avirons";97401;"total porcins";22;2010;4597;1337,48
"Les Avirons";97401;"total porcins";13;2020;4043;1132,16
"Les Avirons";97401;"total volailles";60;2010;61513;625,365
"Les Avirons";97401;"total volailles";44;2020;46685;505,561
"Les Avirons";97401;"lapines mères";12;2010;219;36,573
"Les Avirons";97401;"lapines mères";8;2020;210;35,07
"Les Avirons";97401;"Bovins";71;1988;323;NA
"Les Avirons";97401;"Bovins";54;2000;425;NA
"Les Avirons";97401;"Equins";3;2000;17;NA
"Les Avirons";97401;"Porcins";181;1988;5942;NA
"Les Avirons";97401;"Porcins";44;2000;4314;NA
"Bras-Panon";97402;"total bovins";8;2010;51;47,8
"Bras-Panon";97402;"total bovins";6;2020;81;71,4
"Bras-Panon";97402;"total équins";0;2010;0;0
"Bras-Panon";97402;"total équins";3;2020;17;16,5
"Bras-Panon";97402;"total porcins";11;2010;4030;1030,76
"Bras-Panon";97402;"total porcins";6;2020;4389;1173,18
"Bras-Panon";97402;"total volailles";43;2010;85605;1034,327
"Bras-Panon";97402;"total volailles";23;2020;30692;337,8
"Bras-Panon";97402;"lapines mères";3;2010;5;0,835
"Bras-Panon";97402;"lapines mères";0;2020;0;0
"Bras-Panon";97402;"Bovins";22;1988;163;NA
"Bras-Panon";97402;"Bovins";11;2000;71;NA
"Bras-Panon";97402;"Porcins";70;1988;3792;NA
"Bras-Panon";97402;"Porcins";8;2000;1267;NA
"Entre-Deux";97403;"total bovins";15;2010;241;195,44
"Entre-Deux";97403;"total bovins";12;2020;196;155,2
"Entre-Deux";97403;"total équins";NA;2010;NA;NA
"Entre-Deux";97403;"total équins";NA;2020;NA;NA
"Entre-Deux";97403;"total porcins";NA;2010;NA;NA
"Entre-Deux";97403;"total porcins";0;2020;0;0
"Entre-Deux";97403;"total volailles";33;2010;255027;3038,566
"Entre-Deux";97403;"total volailles";13;2020;84271;1019,826
"Entre-Deux";97403;"lapines mères";10;2010;307;51,269
"Entre-Deux";97403;"lapines mères";0;2020;0;0
"Entre-Deux";97403;"Bovins";45;1988;122;NA
"Entre-Deux";97403;"Bovins";34;2000;215;NA
"Entre-Deux";97403;"Porcins";35;1988;528;NA
"Entre-Deux";97403;"Porcins";8;2000;0;NA
"L'Étang-Salé";97404;"total bovins";17;2010;253;200,62
"L'Étang-Salé";97404;"total bovins";13;2020;364;306,96
"L'Étang-Salé";97404;"total équins";4;2010;58;55,9
"L'Étang-Salé";97404;"total équins";3;2020;20;18,8
"L'Étang-Salé";97404;"total porcins";11;2010;812;236,2
"L'Étang-Salé";97404;"total porcins";4;2020;949;233,19
"L'Étang-Salé";97404;"total volailles";63;2010;30750;344,666
"L'Étang-Salé";97404;"total volailles";32;2020;42507;469,57
"L'Étang-Salé";97404;"lapines mères";14;2010;283;47,261
"L'Étang-Salé";97404;"lapines mères";NA;2020;NA;NA
"L'Étang-Salé";97404;"Bovins";70;1988;266;NA
"L'Étang-Salé";97404;"Bovins";36;2000;245;NA
"L'Étang-Salé";97404;"Equins";3;2000;18;NA
"L'Étang-Salé";97404;"Porcins";121;1988;869;NA
"L'Étang-Salé";97404;"Porcins";17;2000;1615;NA
"Petite-Île";97405;"total bovins";14;2010;206;144,38
"Petite-Île";97405;"total bovins";12;2020;270;191,6
"Petite-Île";97405;"total équins";NA;2010;NA;NA
"Petite-Île";97405;"total équins";3;2020;31;NA
"Petite-Île";97405;"total porcins";19;2010;3457;1025,28
"Petite-Île";97405;"total porcins";6;2020;2423;621,58
"Petite-Île";97405;"total volailles";88;2010;43079;512,492
"Petite-Île";97405;"total volailles";48;2020;108012;1214,211
"Petite-Île";97405;"lapines mères";12;2010;162;27,054
"Petite-Île";97405;"lapines mères";NA;2020;NA;NA
"Petite-Île";97405;"Bovins";67;1988;473;NA
"Petite-Île";97405;"Bovins";48;2000;356;NA
"Petite-Île";97405;"Equins";3;2000;15;NA
"Petite-Île";97405;"Porcins";184;1988;1225;NA
"Petite-Île";97405;"Porcins";32;2000;3525;NA
"La Plaine-des-Palmistes";97406;"total bovins";33;2010;723;702,08
"La Plaine-des-Palmistes";97406;"total bovins";28;2020;562;537,7
"La Plaine-des-Palmistes";97406;"total équins";3;2010;6;5,6
"La Plaine-des-Palmistes";97406;"total équins";NA;2020;17;18,4
"La Plaine-des-Palmistes";97406;"total porcins";9;2010;1222;362,85
"La Plaine-des-Palmistes";97406;"total porcins";4;2020;1740;433,01
"La Plaine-des-Palmistes";97406;"total volailles";42;2010;115650;1608,591
"La Plaine-des-Palmistes";97406;"total volailles";19;2020;187422;2614,158
"La Plaine-des-Palmistes";97406;"lapines mères";7;2010;302;50,434
"La Plaine-des-Palmistes";97406;"lapines mères";NA;2020;9;1,503
"La Plaine-des-Palmistes";97406;"Bovins";42;1988;576;NA
"La Plaine-des-Palmistes";97406;"Bovins";47;2000;990;NA
"La Plaine-des-Palmistes";97406;"Equins";4;2000;10;NA
"La Plaine-des-Palmistes";97406;"Porcins";34;1988;1033;NA
"La Plaine-des-Palmistes";97406;"Porcins";13;2000;1206;NA
"Le Port";97407;"total bovins";0;2010;0;0
"Le Port";97407;"total bovins";0;2020;0;0
"Le Port";97407;"total équins";0;2010;0;0
"Le Port";97407;"total équins";0;2020;0;0
"Le Port";97407;"total porcins";0;2010;0;0
"Le Port";97407;"total porcins";3;2020;10;2,95
"Le Port";97407;"total volailles";5;2010;135;1,734
"Le Port";97407;"total volailles";5;2020;205;2,255
"Le Port";97407;"lapines mères";0;2010;0;0
"Le Port";97407;"lapines mères";0;2020;0;0
"Le Port";97407;"Porcins";25;1988;298;NA
"La Possession";97408;"total bovins";17;2010;124;103,46
"La Possession";97408;"total bovins";4;2020;23;21,7
"La Possession";97408;"total équins";0;2010;0;0
"La Possession";97408;"total équins";NA;2020;NA;2,7
"La Possession";97408;"total porcins";24;2010;436;106,95
"La Possession";97408;"total porcins";NA;2020;NA;NA
"La Possession";97408;"total volailles";77;2010;209134;2422,808
"La Possession";97408;"total volailles";25;2020;200443;2323,35
"La Possession";97408;"lapines mères";5;2010;67;11,189
"La Possession";97408;"lapines mères";7;2020;26;4,342
"La Possession";97408;"Bovins";43;1988;239;NA
"La Possession";97408;"Bovins";33;2000;291;NA
"La Possession";97408;"Porcins";149;1988;1693;NA
"La Possession";97408;"Porcins";15;2000;309;NA
"Saint-André";97409;"total bovins";14;2010;61;52,75
"Saint-André";97409;"total bovins";10;2020;31;27,22
"Saint-André";97409;"total équins";4;2010;14;11,4
"Saint-André";97409;"total équins";NA;2020;NA;NA
"Saint-André";97409;"total porcins";21;2010;2469;676,85
"Saint-André";97409;"total porcins";8;2020;3162;883,97
"Saint-André";97409;"total volailles";116;2010;215711;2620,44
"Saint-André";97409;"total volailles";38;2020;225237;2593,35
"Saint-André";97409;"lapines mères";12;2010;433;72,311
"Saint-André";97409;"lapines mères";NA;2020;NA;NA
"Saint-André";97409;"Bovins";70;1988;369;NA
"Saint-André";97409;"Bovins";18;2000;87;NA
"Saint-André";97409;"Porcins";190;1988;2169;NA
"Saint-André";97409;"Porcins";16;2000;2889;NA
"Saint-Benoît";97410;"total bovins";21;2010;522;411,31
"Saint-Benoît";97410;"total bovins";19;2020;215;176,08
"Saint-Benoît";97410;"total équins";4;2010;17;16,5
"Saint-Benoît";97410;"total équins";NA;2020;NA;NA
"Saint-Benoît";97410;"total porcins";24;2010;3077;869,17
"Saint-Benoît";97410;"total porcins";19;2020;2754;697,3
"Saint-Benoît";97410;"total volailles";179;2010;231017;2514,164
"Saint-Benoît";97410;"total volailles";79;2020;94209;972,986
"Saint-Benoît";97410;"lapines mères";22;2010;370;61,79
"Saint-Benoît";97410;"lapines mères";NA;2020;NA;NA
"Saint-Benoît";97410;"Bovins";42;1988;124;NA
"Saint-Benoît";97410;"Bovins";56;2000;478;NA
"Saint-Benoît";97410;"Equins";5;2000;39;NA
"Saint-Benoît";97410;"Porcins";128;1988;1799;NA
"Saint-Benoît";97410;"Porcins";28;2000;6245;NA
"Saint-Denis";97411;"total bovins";26;2010;114;97,29
