"Commune";"insee";"An";"N";"SAU";"SAU_irri";"Culture";"lib"
"Les Avirons";97401;2010;34;112,49;10,7;"STH & fourrages";NA
"Les Avirons";97401;2020;26;57,04;8,92;"STH & fourrages";NA
"Les Avirons";97401;2010;58;26,4;8,97;"Maraîchage & tubercules";NA
"Les Avirons";97401;2020;30;10,92;8,86;"Maraîchage & tubercules";NA
"Les Avirons";97401;2010;0;0;0;"Céréales";"céréales"
"Les Avirons";97401;2020;0;0;NA;"Céréales";"céréales"
"Les Avirons";97401;2010;0;0;0;"Grain";"protéagineux et légumes secs pour leur graine"
"Les Avirons";97401;2020;0;0;NA;"Grain";"protéagineux et légumes secs pour leur graine"
"Les Avirons";97401;2010;36;136,19;55,69;"Canne à sucre";"plantes à fibres et plantes industrielles diverses"
"Les Avirons";97401;2020;21;98,29;33,91;"Canne à sucre";"plantes à fibres et plantes industrielles diverses"
"Les Avirons";97401;2010;15;1,28;1,12;"PAPAM";"plantes à parfum, aromatiques, médicinales"
"Les Avirons";97401;2020;11;2,17;2,13;"PAPAM";"plantes à parfum, aromatiques, médicinales"
"Les Avirons";97401;2010;7;2,35;0;"Horticulture";"Fleurs et plantes ornementales"
"Les Avirons";97401;2020;5;2,22;2,12;"Horticulture";"Fleurs et plantes ornementales"
"Bras-Panon";97402;2010;10;6,63;0;"STH & fourrages";NA
"Bras-Panon";97402;2020;6;7,68;0;"STH & fourrages";NA
"Bras-Panon";97402;2010;18;10,8;0,73;"Maraîchage & tubercules";NA
"Bras-Panon";97402;2020;17;4,9;0,8;"Maraîchage & tubercules";NA
"Bras-Panon";97402;2010;NA;NA;NA;"Céréales";"céréales"
"Bras-Panon";97402;2020;NA;0,6;NA;"Céréales";"céréales"
"Bras-Panon";97402;2010;0;0;0;"Grain";"protéagineux et légumes secs pour leur graine"
"Bras-Panon";97402;2020;NA;NA;NA;"Grain";"protéagineux et légumes secs pour leur graine"
"Bras-Panon";97402;2010;139;899,48;0;"Canne à sucre";"plantes à fibres et plantes industrielles diverses"
