"Commune";"insee";"An";"N";"SAU";"Culture";"Commune_MAJ";"SAU_irri";"lib"
"Bras-Panon";97402;2000;10;8;"Maraîchage & tubercules";NA;NA;NA
"Cilaos";97424;2000;32;9;"Maraîchage & tubercules";NA;NA;NA
"Entre-Deux";97403;2000;78;55;"Maraîchage & tubercules";NA;NA;NA
"L'Étang-Salé";97404;2000;47;28;"Maraîchage & tubercules";NA;NA;NA
"La Plaine-des-Palmistes";97406;2000;28;12;"Maraîchage & tubercules";NA;NA;NA
"La Possession";97408;2000;88;35;"Maraîchage & tubercules";NA;NA;NA
"Le Port";97407;2000;11;7;"Maraîchage & tubercules";NA;NA;NA
"Le Tampon";97422;2000;623;433;"Maraîchage & tubercules";NA;NA;NA
"Les Avirons";97401;2000;43;17;"Maraîchage & tubercules";NA;NA;NA
"Les Trois-Bassins";97423;2000;12;7;"Maraîchage & tubercules";NA;NA;NA
"Petite-Île";97405;2000;162;97;"Maraîchage & tubercules";NA;NA;NA
"Saint-André";97409;2000;51;28;"Maraîchage & tubercules";NA;NA;NA
"Saint-Benoît";97410;2000;42;26;"Maraîchage & tubercules";NA;NA;NA
"Saint-Denis";97411;2000;116;65;"Maraîchage & tubercules";NA;NA;NA
"Saint-Joseph";97412;2000;128;74;"Maraîchage & tubercules";NA;NA;NA
"Saint-Leu";97413;2000;122;66;"Maraîchage & tubercules";NA;NA;NA
"Saint-Louis";97414;2000;97;47;"Maraîchage & tubercules";NA;NA;NA
"Saint-Paul";97415;2000;211;124;"Maraîchage & tubercules";NA;NA;NA
"Saint-Philippe";97417;2000;24;37;"Maraîchage & tubercules";NA;NA;NA
"Saint-Pierre";97416;2000;114;93;"Maraîchage & tubercules";NA;NA;NA
"Sainte-Marie";97418;2000;24;8;"Maraîchage & tubercules";NA;NA;NA
"Sainte-Rose";97419;2000;21;18;"Maraîchage & tubercules";NA;NA;NA
"Sainte-Suzanne";97420;2000;31;18;"Maraîchage & tubercules";NA;NA;NA
"Salazie";97421;2000;210;171;"Maraîchage & tubercules";NA;NA;NA
"Les Avirons";97401;2000;11;5;"Céréales";NA;NA;NA
"Les Avirons";97401;2000;66;212;"Canne à sucre";NA;NA;NA
"Les Avirons";97401;2000;36;100;"STH & fourrages";NA;NA;NA
"Les Avirons";97401;2000;13;3;"Grain";NA;NA;NA
"Les Avirons";97401;2000;8;7;"Horticulture";NA;NA;NA
"Bras-Panon";97402;2000;7;1;"PAPAM";NA;NA;NA
"Bras-Panon";97402;2000;177;945;"Canne à sucre";NA;NA;NA
"Bras-Panon";97402;2000;6;11;"STH & fourrages";NA;NA;NA
"Bras-Panon";97402;2000;3;1;"Horticulture";NA;NA;NA
"Entre-Deux";97403;2000;11;3;"Céréales";NA;NA;NA
"Entre-Deux";97403;2000;22;6;"PAPAM";NA;NA;NA
"Entre-Deux";97403;2000;17;35;"Canne à sucre";NA;NA;NA
"Entre-Deux";97403;2000;29;27;"STH & fourrages";NA;NA;NA
"Entre-Deux";97403;2000;29;10;"Grain";NA;NA;NA
"L'Étang-Salé";97404;2000;16;8;"Céréales";NA;NA;NA
"L'Étang-Salé";97404;2000;20;6;"PAPAM";NA;NA;NA
"L'Étang-Salé";97404;2000;66;246;"Canne à sucre";NA;NA;NA
"L'Étang-Salé";97404;2000;28;35;"STH & fourrages";NA;NA;NA
"L'Étang-Salé";97404;2000;6;4;"Horticulture";NA;NA;NA
"Petite-Île";97405;2000;28;11;"Céréales";NA;NA;NA
"Petite-Île";97405;2000;19;8;"PAPAM";NA;NA;NA
"Petite-Île";97405;2000;331;1276;"Canne à sucre";NA;NA;NA
"Petite-Île";97405;2000;36;49;"STH & fourrages";NA;NA;NA
"La Plaine-des-Palmistes";97406;2000;59;552;"STH & fourrages";NA;NA;NA
"La Plaine-des-Palmistes";97406;2000;5;1;"Horticulture";NA;NA;NA
"Le Port";97407;2000;12;6;"PAPAM";NA;NA;NA
"La Possession";97408;2000;61;28;"Céréales";NA;NA;NA
"La Possession";97408;2000;25;81;"Canne à sucre";NA;NA;NA
"La Possession";97408;2000;17;31;"STH & fourrages";NA;NA;NA
"La Possession";97408;2000;21;6;"Grain";NA;NA;NA
